"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZR2.00433MTL005","MTL","metal: brass","999",1800,1900,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00510MTL001","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00512MTL038","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00512MTL191","MTL","metal: brass","999",1800,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00513MTL143","MTL","metal: brass","999",1943,2008,"Does not belong to River-context",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00513MTL196","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00514MTL177","MTL","metal: brass","999",1800,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00518MTL118","MTL","metal: tin","999",1775,1850,"Not classified",NULL,NULL,NULL,NULL,"metal: tin"
"NZR2.00518MTL199","MTL","metal: brass","999",1800,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00518MTL327","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00520MTL432","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00523MTL050","MTL","metal","999",1550,1850,"Arms & Armour","Ammunition: handgun shot",NULL,NULL,NULL,"discard"
"NZR2.00524MTL147","MTL","metal: brass","999",1800,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00525MTL015","MTL","metal: brass","999",1783,1833,"Communication & Exchange","Exchange, profane: gaming token",NULL,NULL,NULL,"metal: brass"
"NZR2.00525MTL076","MTL","metal: lead","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: lead"
"NZR2.00525MTL175","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00525MTL356","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00526MTL310","MTL","metal: aluminium","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: aluminium"
"NZR2.00526MTL454","MTL","metal: brass","999",1700,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00529MTL062","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00530MTL153","MTL","metal: brass","999",1500,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00533MTL019","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00534MTL069","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00536MTL090","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00537MTL149","MTL","metal: brass","999",1500,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00539MTL007","MTL","metal: brass","999",1500,1700,"Games & Recreation","Music: idiophone",NULL,NULL,NULL,"metal: brass"
"NZR2.00540MTL026","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00543MTL017","MTL","metal: brass","999",1600,1900,"Interiors & Accessories","Furniture",NULL,NULL,NULL,"metal: brass"
"NZR2.00550MTL006","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00550MTL055","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00559MTL074","MTL","metal: aluminium","999",1975,2000,"Does not belong to River-context",NULL,NULL,NULL,NULL,"metal: aluminium"
"NZR2.00574MTL036","MTL","metal","999",NULL,NULL,"Personal Artefacts & Clothing","Personal accessories",NULL,NULL,NULL,"discard"
"NZR2.00580MTL079","MTL","metal","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00580MTL106","MTL","metal: brass","999",1800,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00599MTL139","MTL","metal: brass","999",1750,1850,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00599MTL659","MTL","metal: brass","999",1800,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00599MTL788","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00599MTL914","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00599MTL968","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.00750MTL002","MTL","metal: brass","999",1800,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.01001MTL015","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZR2.01005MTL169","MTL","metal","999",1500,1937,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.01006MTL145","MTL","metal: aluminium","999",1900,2000,"Not classified",NULL,NULL,NULL,NULL,"metal: aluminium"
"NZR2.01009MTL029","MTL","metal: brass","999",1700,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.01010MTL023","MTL","metal: brass","999",1600,1700,"Interiors & Accessories","Furniture: furniture fittings",NULL,NULL,NULL,"metal: brass"
"NZR2.01014MTL049","MTL","metal: aluminium","999",1900,2000,"Not classified",NULL,NULL,NULL,NULL,"metal: aluminium"
"NZR2.01015MTL045","MTL","metal: iron","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"metal: iron"
"NZD1.00170MTL002","MTL","metal","999",1950,2000,"Arms & Armour","Hilted weapons: switchblade and knife",-5.45,-6.0,-5.725,"discard"
"NZD1.00610MTL148","MTL","metal","999",1878,1958,"Distribution & Transport","Transport, bicycle",NULL,NULL,NULL,"discard"
"NZR2.00030MTL001","MTL","metal","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00030MTL002","MTL","metal","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"discard"
