"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZD1.00015MTL002","MTL","metal: brass","777",1475,1650,"Craft & Industry","Tools, general: sewing",-2.89,-3.19,-3.04,"metal: brass"
"NZD1.00050MTL021","MTL","metal: iron","777",1300,1700,"Not classified",NULL,-4.95,-6.3,-5.625,"metal: iron"
"NZD1.00090MTL020","MTL","metal: brass","777",1500,1900,"Not classified",NULL,-5.9,-7.2,-6.55,"metal: brass"
"NZD1.00093MTL002-gw","MTL","metal: iron","777",1375,1550,NULL,NULL,-5.75,-7.43,-6.59,"metal: iron"
"NZD1.00150MTL056","MTL","metal: iron","888",1825,1925,"Not classified",NULL,-6.76,-7.26,-7.01,"metal: iron"
"NZD1.00321MTL575","MTL","metal: brass","777",1600,1900,"Interiors & Accessories","Furniture",-6.21,-8.36,-7.285,"metal: brass"
"NZD1.00357MTL015-gw","MTL","metal: iron","888",1375,1450,NULL,NULL,-7.75,-8.36,-8.055,"metal: iron"
"NZD1.00374MTL013-gw","MTL","metal: iron","888",1325,1450,NULL,NULL,-7.8,-8.45,-8.125,"metal: iron"
"NZD1.00380MTL008","MTL","metal: brass","777",1800,2000,"Not classified",NULL,-6.21,-8.36,-7.285,"metal: brass"
"NZD1.00392MTL015","MTL","metal: brass","777",1500,1900,"Not classified",NULL,-7.8,-8.45,-8.125,"metal: brass"
"NZD1.00412MTL013","MTL","metal: brass","777",1400,1700,"Not classified",NULL,-7.15,-9.07,-8.11,"metal: brass"
"NZD1.00412MTL119","MTL","metal: iron","777",1200,1500,"Not classified",NULL,-7.15,-9.07,-8.11,"metal: iron"
"NZD1.00412MTL141","MTL","metal","777",1200,1500,"Buildings & Structures","Fastenings for wood: nail (iron)",-7.15,-9.07,-8.11,"discard"
"NZD1.00448MTL004-gw","MTL","metal: iron","777",1350,1450,NULL,NULL,-7.8,-9.91,-8.855,"metal: iron"
"NZD1.00466MTL031-gw","MTL","metal: iron","777",1325,1450,NULL,NULL,-8.41,-10.42,-9.415,"metal: iron"
"NZD1.00469MTL005-gw","MTL","metal: iron","777",1325,1550,NULL,NULL,-8.6,-10.42,-9.51,"metal: iron"
"NZD1.00469MTL051","MTL","metal: brass","777",1450,1600,"Arms & Armour","Hilted weapons: scabbards",-8.6,-10.42,-9.51,"metal: brass"
"NZD1.00474MTL043","MTL","metal: brass","39",1958,2005,"Interiors & Accessories","Locks: padlock",-7.8,-9.91,-8.855,"metal: brass"
"NZD1.00486MTL015","MTL","metal: brass","39",1400,1700,"Craft & Industry","Tools, general: sewing",-9.15,-10.42,-9.785,"metal: brass"
"NZD1.00490MTL009","MTL","metal: iron","888",1500,1750,"Interiors & Accessories","Locks: padlock",-9.15,-10.42,-9.785,"metal: iron"
"NZD1.00503MTL002","MTL","metal: iron","777",1825,1925,"Not classified",NULL,-10.43,-11.4,-10.915,"metal: iron"
"NZD1.00504MTL060","MTL","metal: brass","777",1950,1975,"Science & Technology","Measuring: time",-10.43,-11.4,-10.915,"metal: brass"
"NZD1.00506MTL005-gw","MTL","metal: iron","777",1300,1450,NULL,NULL,-10.8,-11.8,-11.3,"metal: iron"
"NZD1.00507MTL097","MTL","metal: lead","777",1500,1800,"Not classified",NULL,-11.9,-12.25,-12.075,"metal: lead"
"NZD1.00515MTL016","MTL","metal: brass","777",1400,1900,"Not classified",NULL,-12.4,-12.85,-12.625,"metal: brass"
"NZD1.00519MTL004-gw","MTL","metal: iron","777",1325,1450,NULL,NULL,-10.43,-11.4,-10.915,"metal: iron"
"NZD1.00529MTL025","MTL","metal: brass","777",1800,2000,"Not classified",NULL,-11.9,-12.25,-12.075,"metal: brass"
"NZD1.00529MTL123","MTL","metal: brass","777",1500,1800,"Science & Technology","Measuring: weight",-11.9,-12.25,-12.075,"metal: brass"
"NZD1.00039MTL001","MTL","metal","777",1500,1550,"Food Processing & Consumption","Food consumption: cutlery and tools",-4.5,-6.2,-5.35,"discard"
"NZD1.00045MTL005","MTL","metal","777",1500,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-4.74,-5.65,-5.195,"discard"
"NZD1.00046MTL003","MTL","metal","777",1600,1650,"Food Processing & Consumption","Food consumption: cutlery and tools",-4.65,-6.0,-5.325,"discard"
"NZD1.00051MTL013","MTL","metal","777",1550,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-4.95,-6.3,-5.625,"discard"
"NZD1.00052MTL016","MTL","metal","777",1600,1609,"Food Processing & Consumption","Food consumption: cutlery and tools",-4.95,-6.3,-5.625,"discard"
"NZD1.00059MTL002","MTL","metal","777",1500,1575,"Food Processing & Consumption","Food consumption: cutlery and tools",-4.55,-6.68,-5.615,"discard"
"NZD1.00059MTL014","MTL","metal","777",1950,2000,"Distribution & Transport","Transport, bicycle",-4.55,-6.68,-5.615,"discard"
"NZD1.00070MTL021","MTL","metal","777",1500,1700,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.02,-6.84,-6.43,"discard"
"NZD1.00070MTL023","MTL","metal","777",1650,1750,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.02,-6.84,-6.43,"discard"
"NZD1.00075MTL007","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.99,-6.8,-6.395,"discard"
"NZD1.00075MTL016","MTL","metal","777",1450,1575,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.99,-6.8,-6.395,"discard"
"NZD1.00075MTL032","MTL","metal","777",1450,1550,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.99,-6.8,-6.395,"discard"
"NZD1.00077MTL069","MTL","metal","777",1950,2000,"Arms & Armour","Portable firearms: breechloading firearms including automats",-5.9,-6.98,-6.44,"discard"
"NZD1.00081MTL020","MTL","metal","777",1525,1650,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.46,-6.9,-6.18,"discard"
"NZD1.00081MTL027","MTL","metal","777",1550,1650,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.46,-6.9,-6.18,"discard"
"NZD1.00082MTL002","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.45,-7.13,-6.79,"discard"
"NZD1.00092MTL025","MTL","metal","777",1550,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.9,-7.2,-6.55,"discard"
"NZD1.00093MTL013","MTL","metal","777",1575,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-5.75,-7.43,-6.59,"discard"
"NZD1.00099MTL018","MTL","metal","777",1700,1750,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.68,-8.25,-7.465,"discard"
"NZD1.00100MTL013","MTL","metal","777",1700,1750,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.68,-8.25,-7.465,"discard"
"NZD1.00303MTL030","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.99,-8.25,-7.62,"discard"
"NZD1.00303MTL031","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.99,-8.25,-7.62,"discard"
"NZD1.00321MTL061","MTL","metal","777",1475,1575,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.21,-8.36,-7.285,"discard"
"NZD1.00323MTL018","MTL","metal","777",1700,1750,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.21,-8.36,-7.285,"discard"
"NZD1.00324MTL019","MTL","metal","777",1950,2000,"Craft & Industry","Tools, general: cutting, punching, chopping",-6.21,-8.36,-7.285,"discard"
"NZD1.00383MTL021","MTL","metal","777",1550,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.9,-8.64,-7.77,"discard"
"NZD1.00383MTL022","MTL","metal","777",1500,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.9,-8.64,-7.77,"discard"
"NZD1.00383MTL023","MTL","metal","777",1500,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.9,-8.64,-7.77,"discard"
"NZD1.00383MTL024","MTL","metal","777",1500,1700,"Food Processing & Consumption","Food consumption: cutlery and tools",-6.9,-8.64,-7.77,"discard"
"NZD1.00386MTL038","MTL","metal","777",1950,2005,"Personal Artefacts & Clothing","Personal accessories",-6.9,-8.64,-7.77,"discard"
"NZD1.00391MTL031","MTL","metal","777",1350,1550,"Arms & Armour","Hilted weapons: ballock daggers with thin iron guard A4 (if present), substantial ballocks B1 or B2",-7.47,-8.45,-7.96,"discard"
"NZD1.00397MTL001","MTL","metal","777",1675,1725,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-8.99,-8.1,"discard"
"NZD1.00397MTL002","MTL","metal","777",1700,1750,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-8.99,-8.1,"discard"
"NZD1.00397MTL003","MTL","metal","777",1600,1650,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-8.99,-8.1,"discard"
"NZD1.00412MTL199","MTL","metal","777",1875,2005,"Buildings & Structures","Fastenings for wood: bolt",-7.15,-9.07,-8.11,"discard"
"NZD1.00417MTL015","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-8.99,-8.1,"discard"
"NZD1.00417MTL016","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-8.99,-8.1,"discard"
"NZD1.00442MTL019","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-9.07,-8.14,"discard"
"NZD1.00445MTL003","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-9.07,-8.14,"discard"
"NZD1.00446MTL020","MTL","metal","777",1200,1500,"Buildings & Structures","Fastenings for wood: nail (iron)",-7.21,-9.07,-8.14,"discard"
"NZD1.00450MTL004","MTL","metal","777",1700,1800,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.21,-9.91,-8.56,"discard"
"NZD1.00455MTL017","MTL","metal","777",1575,1650,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.65,-9.91,-8.78,"discard"
"NZD1.00455MTL018","MTL","metal","777",1550,1625,"Food Processing & Consumption","Food consumption: cutlery and tools",-7.65,-9.91,-8.78,"discard"
"NZD1.00469MTL125","MTL","metal","777",1911,2005,"Interiors & Accessories","Latches: key",-8.6,-10.42,-9.51,"discard"
"NZD1.00506MTL001","MTL","metal","777",1700,1750,"Food Processing & Consumption","Food consumption: cutlery and tools",-10.8,-11.8,-11.3,"discard"
