"find_number","material_category","material","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","ceramics_rim_eve_estimated_vessel_equivalent","ceramics_base_eve_estimated_vessel_equivalent","ceramics_reconstructed_object_diameter_in_mm","ceramics_reconstructed_object_height_in_mm","ceramics_surface_treatment","ceramics_decoration_technique","ceramics_image_type","ceramics_mark","material_simplified"
"NZD1.00029CER050","CER","faience: Holland",1725,1775,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,220.0,35.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZD1.00052CER039","CER","faience: Holland",1725,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,30.0,220.0,30.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00053CER051","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,100.0,18.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZR2.00274CER048","CER","faience: Holland",1700,1730,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,40.0,220.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00274CER055","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",65.0,80.0,230.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00275CER061","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,130.0,20.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00044CER017","CER","stoneware: Siegburg",1400,1475,"Food Processing & Consumption","Consumption: drinking",10.0,5.0,75.0,138.0,NULL,NULL,NULL,NULL,"stoneware"
"NZD1.00068CER093","CER","faience: Holland",1725,1775,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,10.0,320.0,50.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZD1.00072CER073","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,240.0,28.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00081CER058","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,280.0,25.0,"tin-glaze","overall white",NULL,NULL,"faience"
