"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZD1.00078GLS001","GLS","glass",2.00,"medicine bottle",NULL,1650,1800,-5.90,-6.98,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS002","GLS","glass",38.00,"wine bottle",NULL,1775,1825,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS003","GLS","glass: colourless",6.00,"marble",NULL,1960,2005,-5.90,-6.98,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00078GLS004","GLS","glass",239.00,"wine bottle",NULL,1970,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","brown green","Europe",NULL,100,NULL,NULL,NULL,NULL
"NZD1.00078GLS005","GLS","glass",10.00,"tabasco bottle",NULL,1950,2005,-5.90,-6.98,"Food Processing & Consumption","Supplies, food general","Tabasco bottle",NULL,"gl-fle-222","red brown","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS006","GLS","glass: colourless",296.00,"storage bottle",NULL,1900,1975,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,65,150.00,NULL,NULL,NULL
"NZD1.00078GLS007","GLS","glass: lead-glass",14.00,"chandelier","glass icicle",1875,1975,-5.90,-6.98,"Interiors & Accessories","Chandelier",NULL,NULL,"gl-peg","colourless","western Europe",NULL,NULL,22.00,NULL,NULL,NULL
"NZD1.00078GLS008","GLS","glass: colourless",160.00,"lid",NULL,1925,1975,-5.90,-6.98,"Food Processing & Consumption","Food preparation and consumption: various parts of kitchenware","Lid (glass)",NULL,"gl-dek","colourless, with a hint of grey","western Europe",100.00,NULL,71.00,35.00,NULL,NULL
"NZD1.00078GLS009","GLS","glass",69.00,"wine bottle",NULL,1690,1725,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-160","green","England",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS010","GLS","glass",10.00,"medicine bottle",NULL,1600,1700,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","blue green","Netherlands/Germany",NULL,35,NULL,NULL,NULL,NULL
"NZD1.00078GLS011","GLS","glass: forest-glass",1.00,"maigelein (palm cup)",NULL,1400,1500,-5.90,-6.98,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","light yellow green","Germany",15.00,NULL,100.00,NULL,NULL,NULL
"NZD1.00078GLS012","GLS","glass",5.00,NULL,NULL,1500,1700,-5.90,-6.98,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS013","GLS","glass: opaline",7.00,NULL,NULL,1800,1900,-5.90,-6.98,"Not classified",NULL,NULL,NULL,"gl","opaque green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS014","GLS","glass: colourless",2.00,"marble",NULL,1950,2005,-5.90,-6.98,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,12.00,NULL,NULL,NULL
"NZD1.00078GLS015","GLS","glass: colourless",18.00,"lemonade bottle",NULL,1946,2005,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS016","GLS","glass",49.00,"lemonade bottle",NULL,1946,1969,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-226","emerald green","Netherlands",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00078GLS017","GLS","glass",50.00,"lemonade bottle",NULL,1953,2005,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-214","emerald green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS018","GLS","glass",119.00,"bottle",NULL,1950,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,55,NULL,NULL,NULL,NULL
"NZD1.00078GLS019","GLS","glass",167.00,"bottle",NULL,1950,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS020","GLS","glass",31.00,"bottle",NULL,1900,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00078GLS021","GLS","glass",5.00,NULL,NULL,1900,2005,-5.90,-6.98,"Not classified",NULL,NULL,NULL,"gl","emerald green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS022","GLS","glass: forest-glass",3.00,"roemer",NULL,1625,1725,-5.90,-6.98,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00078GLS023","GLS","glass",17.00,"window glass",NULL,1500,1800,-5.90,-6.98,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS024","GLS","glass",4.00,"case-bottle",NULL,1575,1700,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS025","GLS","glass",3.00,"medicine bottle",NULL,1650,1800,-5.90,-6.98,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS026","GLS","glass: colourless",42.00,"bottle",NULL,1900,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of blue","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00078GLS027","GLS","glass: colourless",149.00,"window glass",NULL,1850,2000,-5.90,-6.98,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS028","GLS","glass",50.00,"bottle",NULL,1850,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS029","GLS","glass: colourless",480.00,"bottle",NULL,1950,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00078GLS030","GLS","glass",58.00,"bottle",NULL,1900,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS031","GLS","glass",37.00,"wine bottle",NULL,1675,1775,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS032","GLS","glass",78.00,"wine bottle",NULL,1675,1775,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS001","GLS","glass",20.00,"medicine bottle",NULL,1700,1850,-5.46,-7.50,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","light blue green","Netherlands/Germany",NULL,100,25.00,NULL,NULL,NULL
"NZD1.00079GLS002","GLS","glass",5.00,"medicine bottle",NULL,1700,1800,-5.46,-7.50,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-11","light green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS003","GLS","glass",9.00,"jewellery","fragment",1875,1925,-5.46,-7.50,"Personal Artefacts & Clothing","Body adornment","Parts of jewellery",NULL,"gl","purple","western Europe",40.00,NULL,37.00,10.00,"press-moulded",NULL
"NZD1.00079GLS004","GLS","glass",33.00,"gin bottle",NULL,1975,2005,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage",NULL,"gl-fle","brown","Germany",100.00,100,26.00,95.00,NULL,NULL
"NZD1.00079GLS005","GLS","glass",11.00,"car rear light",NULL,1950,1980,-5.46,-7.50,"Distribution & Transport","Transport, car","Rear light",NULL,"gl","yellow",NULL,10.00,NULL,180.00,NULL,NULL,NULL
"NZD1.00079GLS006","GLS","glass",47.00,"wine bottle",NULL,1675,1725,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00079GLS007","GLS","glass",18.00,"wine bottle",NULL,1700,1775,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS008","GLS","glass: lead-glass",86.00,"goblet",NULL,1750,1800,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-21","colourless, with a hint of grey","England",NULL,NULL,NULL,NULL,"spiral air twist",NULL
"NZD1.00079GLS009","GLS","glass: forest-glass",10.00,NULL,NULL,1500,1650,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","blue green","Netherlands/Germany",NULL,65,NULL,NULL,NULL,NULL
"NZD1.00079GLS010","GLS","glass",1.00,"window glass",NULL,1500,1800,-5.46,-7.50,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",5.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS011","GLS","glass: colourless",5.00,NULL,NULL,1900,2000,-5.46,-7.50,"Not classified",NULL,NULL,NULL,"gl","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS012","GLS","glass: colourless",48.00,"goblet",NULL,1825,1900,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS013","GLS","glass: colourless",52.00,"beaker/mug",NULL,1800,1900,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS014","GLS","glass: opaline",30.00,NULL,NULL,1850,2000,-5.46,-7.50,"Not classified",NULL,NULL,NULL,"gl","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS015","GLS","glass: colourless",21.00,"marble",NULL,1950,2005,-5.46,-7.50,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,25.00,NULL,NULL,NULL
